CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
1,40,50,0,0,1236,0
2,45,68,1,912,967,90
3,45,70,1,825,870,90
4,42,66,1,65,146,90
5,42,68,1,727,782,90
6,42,65,1,15,67,90
7,40,69,1,621,702,90
8,40,66,1,170,225,90
9,38,68,1,255,324,90
10,38,70,1,534,605,90
11,35,66,1,357,410,90
12,35,69,1,448,505,90
13,25,85,1,652,721,90
14,22,75,1,30,92,90
15,22,85,1,567,620,90
16,20,80,1,384,429,90
17,20,85,1,475,528,90
18,18,75,1,99,148,90
19,15,75,1,179,254,90
20,15,80,1,278,345,90
21,30,50,1,10,73,90
22,30,52,1,914,965,90
23,28,52,1,812,883,90
24,28,55,1,732,777,90
25,25,50,1,65,144,90
26,25,52,1,169,224,90
27,25,55,1,622,701,90
28,23,52,1,261,316,90
29,23,55,1,546,593,90
30,20,50,1,358,405,90
31,20,55,1,449,504,90
32,10,35,1,200,237,90
33,10,40,1,31,100,90
34,8,40,1,87,158,90
35,8,45,1,751,816,90
36,5,35,1,283,344,90
37,5,45,1,665,716,90
38,2,40,1,383,434,90
39,0,40,1,479,522,90
40,0,45,1,567,624,90
41,35,30,1,264,321,90
42,35,32,1,166,235,90
43,33,32,1,68,149,90
44,33,35,1,16,80,90
45,32,30,1,359,412,90
46,30,30,1,541,600,90
47,30,32,1,448,509,90
48,30,35,1,1054,1127,90
49,28,30,1,632,693,90
50,28,35,1,1001,1066,90
51,26,32,1,815,880,90
52,25,30,1,725,786,90
53,25,35,1,912,969,90
54,44,5,1,286,347,90
55,42,10,1,186,257,90
56,42,15,1,95,158,90
57,40,5,1,385,436,90
58,40,15,1,35,87,90
59,38,5,1,471,534,90
60,38,15,1,651,740,90
61,35,5,1,562,629,90
62,50,30,1,531,610,90
63,50,35,1,262,317,90
64,50,40,1,171,218,90
65,48,30,1,632,693,90
66,48,40,1,76,129,90
67,47,35,1,826,875,90
68,47,40,1,12,77,90
69,45,30,1,734,777,90
70,45,35,1,916,969,90
71,95,30,1,387,456,90
72,95,35,1,293,360,90
73,53,30,1,450,505,90
74,92,30,1,478,551,90
75,53,35,1,353,412,90
76,45,65,1,997,1068,90
77,90,35,1,203,260,90
78,88,30,1,574,643,90
79,88,35,1,109,170,90
80,87,30,1,668,731,90
81,85,25,1,769,820,90
82,85,35,1,47,124,90
83,75,55,1,369,420,90
84,72,55,1,265,338,90
85,70,58,1,458,523,90
86,68,60,1,555,612,90
87,66,55,1,173,238,90
88,65,55,1,85,144,90
89,65,60,1,645,708,90
90,63,58,1,737,802,90
91,60,55,1,20,84,90
92,60,60,1,836,889,90
93,67,85,1,368,441,90
94,65,85,1,475,518,90
95,65,82,1,285,336,90
96,62,80,1,196,239,90
97,60,80,1,95,156,90
98,60,85,1,561,622,90
99,58,75,1,30,84,90
100,55,80,1,743,820,90
101,55,85,1,647,726,90
