/*********************************************
 * OPL 12.6.2.0 Data
 * Author: ks-computer
 * Creation Date: 2025-1-14 at ÏÂÎç4:09:24
 *********************************************/
d =[ [0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50], 
    [5, 0, 5, 10, 15, 20, 25, 30, 35, 40, 45], 
    [10, 5, 0, 5, 10, 15, 20, 25, 30, 35, 40],
    [15, 10, 5, 0, 5, 10, 15, 20, 25, 30, 35],
    [20, 15, 10, 5, 0, 5, 10, 15, 20, 25, 30],
    [25, 20, 15, 10, 5, 0, 5, 10, 15, 20, 25],
    [30, 25, 20, 15, 10, 5, 0, 5, 10, 15, 20],
    [35, 30, 25, 20, 15, 10, 5, 0, 5, 10, 15],
    [40, 35, 30, 25, 20, 15, 10, 5, 0, 5, 10],
    [45, 40, 35, 30, 25, 20, 15, 10, 5, 0, 5],
    [50, 45, 40, 35, 30, 25, 20, 15, 10, 5, 0] ];
d_u = 
  [ [0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50], 
    [5, 0, 5, 10, 15, 20, 25, 30, 35, 40, 45], 
    [10, 5, 0, 5, 10, 15, 20, 25, 30, 35, 40],
    [15, 10, 5, 0, 5, 10, 15, 20, 25, 30, 35],
    [20, 15, 10, 5, 0, 5, 10, 15, 20, 25, 30],
    [25, 20, 15, 10, 5, 0, 5, 10, 15, 20, 25],
    [30, 25, 20, 15, 10, 5, 0, 5, 10, 15, 20],
    [35, 30, 25, 20, 15, 10, 5, 0, 5, 10, 15],
    [40, 35, 30, 25, 20, 15, 10, 5, 0, 5, 10],
    [45, 40, 35, 30, 25, 20, 15, 10, 5, 0, 5],
    [50, 45, 40, 35, 30, 25, 20, 15, 10, 5, 0] ];


